Reference area,Frequency of observation,Measure,Unit of measure,Price base,TIME_PERIOD,OBS_VALUE
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2010,2.449747798
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2011,7.606976834
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2012,3.672019807
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2013,1.756492008
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2014,3.322789773
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2015,1.838155156
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2016,3.093020171
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2017,5.634670707
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2018,3.699696101
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2019,3.726650301
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-2.883809805
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2021,7.154448701
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2022,0.060429888
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2023,-3.023038126
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2024,-0.261006155
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,1996,3.66265765
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,1997,6.397700585
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,1998,5.454269962
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,1999,4.389280879
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2000,5.753737854
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2001,2.640261886
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2002,1.687326371
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2003,2.011799821
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2004,4.005379311
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2005,2.777309574
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2006,4.019573189
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2007,5.312801707
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2008,0.784431139
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-8.076030868
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2010,3.168287573
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2011,2.390394794
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2012,-1.522840248
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2013,-0.979741067
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2014,-0.478068351
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2015,0.466503762
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2016,2.571933941
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2017,3.30337047
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2018,1.192977685
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2019,1.349738436
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-2.491036305
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2021,2.676346742
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2022,0.763041367
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2023,-0.946904762
Finland,Annual,Gross domestic product,Percent per annum,Constant prices,2024,-0.154214623
France,Annual,Gross domestic product,Percent per annum,Constant prices,1996,1.397079867
France,Annual,Gross domestic product,Percent per annum,Constant prices,1997,2.527061656
France,Annual,Gross domestic product,Percent per annum,Constant prices,1998,3.452594322
France,Annual,Gross domestic product,Percent per annum,Constant prices,1999,3.399308086
France,Annual,Gross domestic product,Percent per annum,Constant prices,2000,4.140999967
France,Annual,Gross domestic product,Percent per annum,Constant prices,2001,1.899467036
France,Annual,Gross domestic product,Percent per annum,Constant prices,2002,1.067750267
France,Annual,Gross domestic product,Percent per annum,Constant prices,2003,0.967827173
France,Annual,Gross domestic product,Percent per annum,Constant prices,2004,2.868250538
France,Annual,Gross domestic product,Percent per annum,Constant prices,2005,1.88856583
France,Annual,Gross domestic product,Percent per annum,Constant prices,2006,2.714064481
France,Annual,Gross domestic product,Percent per annum,Constant prices,2007,2.530481898
France,Annual,Gross domestic product,Percent per annum,Constant prices,2008,0.380171424
France,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-2.824551519
France,Annual,Gross domestic product,Percent per annum,Constant prices,2010,2.000324759
France,Annual,Gross domestic product,Percent per annum,Constant prices,2011,2.43757654
France,Annual,Gross domestic product,Percent per annum,Constant prices,2012,0.183835264
France,Annual,Gross domestic product,Percent per annum,Constant prices,2013,0.78175642
France,Annual,Gross domestic product,Percent per annum,Constant prices,2014,0.997832969
France,Annual,Gross domestic product,Percent per annum,Constant prices,2015,1.066754734
France,Annual,Gross domestic product,Percent per annum,Constant prices,2016,0.860031067
France,Annual,Gross domestic product,Percent per annum,Constant prices,2017,2.083614888
France,Annual,Gross domestic product,Percent per annum,Constant prices,2018,1.645908701
France,Annual,Gross domestic product,Percent per annum,Constant prices,2019,2.027446465
France,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-7.440645888
France,Annual,Gross domestic product,Percent per annum,Constant prices,2021,6.882337819
France,Annual,Gross domestic product,Percent per annum,Constant prices,2022,2.570840488
